COUNTRY,STADIUMS
Australia,Melbourne
England,Manchester
England,London
England,Birmingham
New Zealand,Christchurch
Wales,Swansea
England,Leeds
England,London
New Zealand,Dunedin
England,Nottingham
New Zealand,Wellington
Australia,Adelaide
New Zealand,Auckland
England,Scarborough
Pakistan,Sialkot
Guyana,Albion
Pakistan,Sahiwal
Pakistan,Lahore
Antigua & Barbuda,St.John's
Saint Lucia,Castries
Pakistan,Quetta
Australia,Sydney
Australia,Brisbane
Pakistan,Karachi
Australia,Perth
Saint Vincent,Kingstown
New Zealand,Hamilton
India,Ahmedabad
India,Jalandhar
India,Cuttack
Sri Lanka,Colombo
India,Amritsar
India,NewDelhi
Pakistan,Hyderabad
India,Bangalore
Pakistan,Gujranwala
Pakistan,Multan
Trinidad & Tobago,PortofSpain
New Zealand,Napier
Grenada,StGeorge's
Sri Lanka,Colombo
England,Taunton
England,Leicester
England,Bristol
England,Worcester
England,Southampton
England,TunbridgeWells
England,Derby
England,Chelmsford
India,Hyderabad
India,Jaipur
India,Srinagar
India,Vadodara
India,Indore
India,Jamshedpur
India,Guwahati
Sri Lanka,Moratuwa
U.A.E.,Sharjah
Jamaica,Kingston
India,NewDelhi
India,Trivandrum
India,Ahmedabad
Pakistan,Peshawar
Pakistan,Faisalabad
India,Pune
Australia,Hobart
India,Nagpur
India,Chandigarh
Barbados,Bridgetown
Pakistan,Rawalpindi
Australia,Launceston
Sri Lanka,Kandy
Sri Lanka,Colombo
India,Rajkot
India,Kanpur
India,Mumbai
Australia,Devonport
India,Kolkata
India,Chennai
Australia,Hobart
India,Faridabad
India,Gwalior
Guyana,Georgetown
Bangladesh,Chittagong
Bangladesh,Dhaka
India,Visakhapatnam
India,Mumbai
India,Fatorda
India,Lucknow
Pakistan,Sargodha
Pakistan,Rawalpindi
New Zealand,NewPlymouth
Australia,Mackay
Australia,Ballarat
Australia,Canberra
Australia,Berri
Australia,Albury
Zimbabwe,Harare
Zimbabwe,Bulawayo
South Africa,CapeTown
South Africa,PortElizabeth
South Africa,Centurion
South Africa,Johannesburg
South Africa,Bloemfontein
South Africa,Durban
South Africa,EastLondon
India,Patna
India,Mohali
India,Vadodara
Singapore,Singapore
Canada,Toronto
Kenya,Nairobi
Kenya,Nairobi
Kenya,Nairobi
Pakistan,Quetta
Zimbabwe,Bulawayo
South Africa,Paarl
South Africa,Benoni
India,Kochi
South Africa,Kimberley
Pakistan,Sheikhupura
New Zealand,Taupo
Grenada,St.George's
England,Hove
England,Canterbury
England,Northampton
Wales,Cardiff
England,Chester-le-Street
Ireland,Dublin
Scotland,Edinburgh
Netherlands,Amstelveen
Sri Lanka,Galle
Singapore,Singapore
New Zealand,Wellington
Australia,Melbourne
South Africa,Potchefstroom
India,Jodhpur
Sri Lanka,Dambulla
Kenya,Nairobi
Saint Lucia,GrosIslet
Morocco,Tangier
India,Vijayawada
Zimbabwe,Kwekwe
New Zealand,Queenstown
South Africa,Pietermaritzburg
England,Southampton
Australia,Cairns
Australia,Darwin
Pakistan,Multan
India,Visakhapatnam
India,Hyderabad
Bangladesh,Bogra
Bangladesh,Chittagong
Bangladesh,Khulna
Bangladesh,Fatullah
India,Indore
U.A.E.,AbuDhabi
St Kitts & Nevis,Basseterre
Northern Ireland,Belfast
Scotland,Ayr
Malaysia,Puchong
Kenya,Mombasa
Bangladesh,Mirpur
Kenya,Nairobi
Kenya,Nairobi
Antigua & Barbuda,Antigua
Guyana,Providence
Scotland,Glasgow
Netherlands,Rotterdam
Canada,KingCity
Scotland,Aberdeen
U.A.E.,ICCA Dubai
Dominica,Roseau
India,Nagpur
New Zealand,Dunedin
Netherlands,Voorburg
Netherlands,Schiedam
Sri Lanka,Hambantota
Sri Lanka,Pallekele
New Zealand,Whangarei
India,Rajkot
India,Ranchi
India,Dharamshala
U.A.E.,ICCA Dubai
Ireland,Dublin
India,Pune
New Zealand,Nelson
New Zealand,Christchurch
New Zealand,Lincoln
New Zealand,MountMaunganui
Malaysia,Pandamaran
Australia,Townsville
Hong Kong,MongKok
India,GreaterNoida
P.N.G.,PortMoresby
Australia,Perth
Zimbabwe,Harare
India,Guwahati
India,Thiruvananthapuram
Bangladesh,Sylhet
India,Dehradun
Namibia,Windhoek
Namibia,Windhoek
Netherlands,Deventer
Northern Ireland,Magheramason
U.S.A.,Lauderhill
India,Lucknow
Oman,Muscat
Nepal,Kirtipur
